Parasite (2019 film);1541;346;38554
Ford v Ferrari;528;139;12061
The Irishman;736;296;40211
Jojo Rabbit;480;305;53607
Joker (2019 film);818;525;55732
Little Women (2019 film);277;215;19213
Marriage Story;187;117;13701
1917 (2019 film);515;158;17591
Once Upon a Time in Hollywood;906;522;78733
Nomadland;808;115;13208
The Father (2020 film);275;100;10611
Judas and the Black Messiah;373;122;14410
Mank;333;162;14563
Minari (film);355;113;14654
Promising Young Woman;197;90;13381
Sound of Metal;207;150;8827
The Trial of the Chicago 7;598;140;19101
CODA (2021 film);799;126;25548
Belfast (film);491;115;12102
Don't Look Up;349;280;30082
Drive My Car (film);796;48;12866
Dune (2021 film);460;498;61750
King Richard (film);253;160;12653
Licorice Pizza;285;100;13585
Nightmare Alley (2021 film);245;170;19772
The Power of the Dog (film);415;74;15396
West Side Story (2021 film);632;265;39052
Everything Everywhere All at Once;953;250;33319
All Quiet on the Western Front (2022 film);522;112;13005
Avatar: The Way of Water;408;553;57049
The Banshees of Inisherin;368;98;17136
Elvis (2022 film);634;219;25870
The Fabelmans;542;201;58020
Tár;371;159;21014
Top Gun: Maverick;837;417;38725
Triangle of Sadness;325;133;13027
Women Talking (film);171;78;12205
