All the King's Men;69;25;2720
Fuego en la nieve (película);59;18;5116
La heredera (película);75;42;8944
Carta a tres esposas;47;12;2418
All About Eve;102;46;7601
Nacida ayer (1950);71;21;6695
Sunset Boulevard (película);292;76;67711
El padre de la novia (película de 1950);56;14;2202
Las minas del rey Salomón (película de 1950);74;22;2721
Un americano en París;71;24;3079
Decision Before Dawn;56;14;1684
A Place in the Sun;72;29;5717
Un tranvía llamado Deseo (película de 1951);74;44;3142
Quo vadis? (película de 1951);215;44;34936
The Greatest Show on Earth (película de 1952);73;17;4587
High Noon;89;43;7415
Ivanhoe (película de 1952);75;29;6948
The Quiet Man;79;31;4084
Moulin Rouge (película de 1952);51;17;2349
De aquí a la eternidad;70;29;4051
The Robe;101;16;6660
Roman Holiday;122;45;11424
Shane;67;23;4175
Julio César (película de 1953);95;26;2345
On the Waterfront;86;44;3354
El motín del Caine;69;24;6283
La angustia de vivir;40;12;1936
Siete novias para siete hermanos;60;20;1419
Three Coins in the Fountain (película);44;15;1285
Marty;67;19;3736
Love Is a Many-Splendored Thing;50;12;653
Mister Roberts;59;15;1762
Picnic (película);73;21;3569
La rosa tatuada (película);58;10;1838
La vuelta al mundo en ochenta días (película de 1956);126;29;11011
Friendly Persuasion;58;15;791
El rey y yo (película de 1956);78;15;2047
Gigante (película de 1956);110;34;4888
Los diez mandamientos (película de 1956);202;59;14154
El puente sobre el río Kwai;100;43;7937
Peyton Place (película de 1957);55;12;2767
Sayonara (película);45;11;802
12 Angry Men (película de 1957);99;55;5276
Testigo de cargo (película);97;38;12050
Gigi;70;24;2521
Auntie Mame;60;17;2773
Cat on a Hot Tin Roof (película);77;37;3535
Fugitivos (película de 1958);60;19;3420
Mesas separadas;79;30;12435
