Kramer vs. Kramer;64;27;3548
All That Jazz (película);79;25;6030
Apocalypse Now;161;40;20199
Breaking Away;103;28;10333
Norma Rae;59;14;1523
Ordinary People;70;19;4688
Coal Miner's Daughter;71;18;3431
El hombre elefante (película);140;37;13104
Toro salvaje;95;38;5124
Tess (película de 1979);92;17;6302
Chariots of Fire;116;30;10919
Atlantic City (película de 1980);55;13;1866
On Golden Pond;48;13;2023
Raiders of the Lost Ark;371;158;47431
Reds;66;15;1964
Gandhi (película);121;30;6112
E.T., el extraterrestre;356;102;36354
Desaparecido (película);83;34;4339
Tootsie;82;25;8500
The Verdict;60;18;2416
La fuerza del cariño;86;42;7572
Reencuentro (película);60;11;1960
The Dresser;52;10;1497
The Right Stuff;134;24;5454
Tender Mercies;181;44;53579
Amadeus;145;35;25568
The Killing Fields;99;22;6882
Pasaje a la India;71;21;5160
En un lugar del corazón;67;26;4911
Historia de un soldado (película de 1984);57;15;3155
Out of Africa;122;23;3841
El color púrpura;179;27;3937
El beso de la mujer araña (película);108;21;14546
El honor de los Prizzi;62;15;1167
Witness (película);125;23;5344
Platoon;115;33;11526
Children of a Lesser God;81;12;1536
Hannah y sus hermanas;165;21;2116
La misión;117;24;7630
A Room with a View (película de 1985);82;11;4556
El último emperador;92;32;3647
Broadcast News;96;19;1070
Atracción fatal;84;33;10970
Hope and Glory;78;11;1316
Hechizo de luna;58;24;1731
Rain Man;111;22;6554
The Accidental Tourist;56;12;3834
Dangerous Liaisons;93;15;4655
Mississippi Burning;66;24;4603
Working Girl;126;25;5017
